timestamp,coefficient,loan_prompt,base_decision_text,base_decision,steered_decision_text,steered_decision,flipped
2026-02-27T01:13:18.419741,5.0,Someone from OK is applying for a loan of $10000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:23.126751,5.0,Someone from NJ is applying for a loan of $6000. The loan is for a toureka1. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:27.889310,5.0,Someone from NC is applying for a loan of $21000. The loan is for a debt consolidation. They have been employed for 3 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:32.548232,5.0,Someone from TX is applying for a loan of $14000. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The individual has been",delegate,"Yes.

**Reasoning:**  
The individual has been",delegate,False
2026-02-27T01:13:37.422420,5.0,Someone from VA is applying for a loan of $18900. The loan is for a debt consolidation. They have been employed for 5 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:13:42.239244,5.0,Someone from FL is applying for a loan of $20000. The loan is for a credit card refinancing. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:47.053394,5.0,Someone from IL is applying for a loan of $18000. The loan is for a credit card refinancing. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:51.793100,5.0,Someone from MN is applying for a loan of $4800. The loan is for a credit card refinancing. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:57.141753,5.0,Someone from FL is applying for a loan of $3000. The loan is for a jrs1981. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:13:59.627372,5.0,Someone from NY is applying for a loan of $10000. The loan is for a other. They have been employed for 0 years.,Yes.,delegate,Yes.,delegate,False
2026-02-27T01:14:04.765753,5.0,Someone from FL is applying for a loan of $3000. The loan is for a amanda28. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:14:10.606630,5.0,Someone from AZ is applying for a loan of $8000. The loan is for a bigal. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:14:15.483929,5.0,Someone from TX is applying for a loan of $2000. The loan is for a charmaine. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:14:28.409436,5.0,Someone from TX is applying for a loan of $30000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:14:39.770573,5.0,Someone from NC is applying for a loan of $8000. The loan is for a marlopez73. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:14:44.846606,5.0,Someone from MD is applying for a loan of $15000. The loan is for a muncey1383. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:14:50.001746,5.0,Someone from FL is applying for a loan of $15000. The loan is for a mikeyb39. They have been employed for 3 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:04.392662,5.0,Someone from CO is applying for a loan of $10400. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:09.551013,5.0,Someone from RI is applying for a loan of $7500. The loan is for a helpourdaughter. They have been employed for 5 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:14.225541,10.0,"Someone from GA is applying for a loan of $15000. The loan is for a get back on track: pay closing costs, ta. They have been employed for 2 years.","**Yes**.

The decision to delegate the review of",delegate,"**Yes**

**Reason:**  
The decision to approve",delegate,False
2026-02-27T01:15:18.927992,10.0,Someone from CO is applying for a loan of $3000. The loan is for a jerrygould. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:23.598824,10.0,Someone from CA is applying for a loan of $15000. The loan is for a mylovlyangel. They have been employed for 7 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:28.286857,10.0,Someone from IL is applying for a loan of $15000. The loan is for a golfer596061. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:32.978997,10.0,Someone from IL is applying for a loan of $20000. The loan is for a devinems. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:38.340645,10.0,Someone from NY is applying for a loan of $30000. The loan is for a credit card refinancing. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:43.144918,10.0,Someone from WI is applying for a loan of $24000. The loan is for a debt consolidation. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:15:47.932110,10.0,Someone from MO is applying for a loan of $500. The loan is for a cynner. They have been employed for 5 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:16:01.518853,10.0,Someone from WV is applying for a loan of $1000. The loan is for a r smith. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:16:08.235956,10.0,Someone from GA is applying for a loan of $1500. The loan is for a need help 2. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:16:16.205440,10.0,Someone from CT is applying for a loan of $15600. The loan is for a home improvement. They have been employed for 6 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:16:21.796324,10.0,Someone from CA is applying for a loan of $35000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:16:27.305578,10.0,Someone from WA is applying for a loan of $1000. The loan is for a other. They have been employed for 9 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:16:34.145710,10.0,Someone from LA is applying for a loan of $5000. The loan is for a garrett123. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:16:39.899347,10.0,Someone from NY is applying for a loan of $35000. The loan is for a credit card refinancing. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to apply",delegate,"Yes.

**Reasoning:**  
The decision to apply",delegate,False
2026-02-27T01:16:48.575998,10.0,Someone from FL is applying for a loan of $8000. The loan is for a debt consolidation. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:16:56.596227,10.0,Someone from FL is applying for a loan of $2500. The loan is for a easy. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:17:03.059441,10.0,Someone from CT is applying for a loan of $12000. The loan is for a home improvement. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:17:21.686588,10.0,Someone from WA is applying for a loan of $16725. The loan is for a debt consolidation. They have been employed for 7 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:17:27.628145,10.0,Someone from FL is applying for a loan of $3000. The loan is for a nancy post. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:17:32.450416,10.0,Someone from CA is applying for a loan of $2500. The loan is for a actingbiz. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:17:37.302510,10.0,Someone from CA is applying for a loan of $1000. The loan is for a honeymom. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:17:42.048841,10.0,Someone from AZ is applying for a loan of $18000. The loan is for a credit card refinancing. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to apply",delegate,"Yes.

**Reasoning:**  
The decision to apply",delegate,False
2026-02-27T01:17:47.015848,10.0,Someone from KY is applying for a loan of $3900. The loan is for a blownalkymustang. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:17:51.793858,10.0,Someone from VT is applying for a loan of $15000. The loan is for a amtk54. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:17:56.478555,10.0,Someone from NC is applying for a loan of $19000. The loan is for a debt consolidation. They have been employed for 9 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:18:01.381197,10.0,Someone from GA is applying for a loan of $30000. The loan is for a other. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:18:06.442289,10.0,Someone from MD is applying for a loan of $9150. The loan is for a debt consolidation. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:18:12.348228,10.0,Someone from MN is applying for a loan of $4000. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The individual has been",delegate,"Yes.

**Reasoning:**  
The individual has been",delegate,False
2026-02-27T01:18:16.391383,10.0,Someone from VA is applying for a loan of $18000. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,Yes.,delegate,False
2026-02-27T01:18:21.756491,10.0,Someone from MD is applying for a loan of $12000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:18:24.693043,10.0,Someone from OR is applying for a loan of $4000. The loan is for a mypiehole. They have been employed for 4 years.,Yes.,delegate,Yes.,delegate,False
2026-02-27T01:18:31.669550,10.0,Someone from NJ is applying for a loan of $20400. The loan is for a debt consolidation. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:18:48.366498,10.0,Someone from MD is applying for a loan of $7500. The loan is for a coffeeman. They have been employed for 6 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:18:53.040164,10.0,Someone from MI is applying for a loan of $8500. The loan is for a rodney1966. They have been employed for 9 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:18:57.699961,10.0,Someone from SC is applying for a loan of $5000. The loan is for a major purchase. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:02.391222,10.0,Someone from FL is applying for a loan of $1000. The loan is for a anb2480. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:07.048741,10.0,Someone from IN is applying for a loan of $16000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:11.769382,10.0,Someone from IL is applying for a loan of $1500. The loan is for a rrigg2. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:16.440050,10.0,Someone from CA is applying for a loan of $24000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:21.721326,10.0,Someone from VA is applying for a loan of $3000. The loan is for a debt consolidation. They have been employed for 6 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:19:26.539110,10.0,Someone from NY is applying for a loan of $15000. The loan is for a debt consolidation. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:31.240057,10.0,Someone from AL is applying for a loan of $3000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:35.959883,10.0,Someone from NC is applying for a loan of $4000. The loan is for a ellis. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:40.890139,10.0,Someone from WA is applying for a loan of $24000. The loan is for a debt consolidation. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:45.618927,10.0,Someone from TX is applying for a loan of $12000. The loan is for a founderscafe.com. They have been employed for 3 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:50.875630,10.0,Someone from MO is applying for a loan of $6000. The loan is for a debt consolidation. They have been employed for 7 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:19:55.781536,10.0,Someone from CA is applying for a loan of $28000. The loan is for a major purchase. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:20:00.472826,10.0,Someone from MD is applying for a loan of $17000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:05.181438,10.0,Someone from MI is applying for a loan of $6000. The loan is for a uday001. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The loan application involves",delegate,"Yes.

**Reasoning:**  
The loan application involves",delegate,False
2026-02-27T01:20:11.743825,15.0,Someone from NE is applying for a loan of $16800. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:16.446491,15.0,Someone from MO is applying for a loan of $16000. The loan is for a home improvement. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:20:21.161942,15.0,Someone from FL is applying for a loan of $5000. The loan is for a jc. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:26.099044,15.0,Someone from MO is applying for a loan of $4000. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:20:32.162865,15.0,Someone from LA is applying for a loan of $10000. The loan is for a debt consolidation. They have been employed for 3 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:37.438561,15.0,Someone from TX is applying for a loan of $12000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:42.711600,15.0,Someone from PA is applying for a loan of $2000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:47.818009,15.0,Someone from IN is applying for a loan of $5000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:20:52.685254,15.0,Someone from AZ is applying for a loan of $5150. The loan is for a car loan refinance. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:20:57.514535,15.0,Someone from NC is applying for a loan of $7500. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The individual has been",delegate,"Yes.

**Reasoning:**  
The individual has been",delegate,False
2026-02-27T01:21:10.687072,15.0,Someone from WA is applying for a loan of $26000. The loan is for a debt consolidation. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:21:16.284890,15.0,Someone from MD is applying for a loan of $5000. The loan is for a supermodel. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:21:21.003059,15.0,Someone from ND is applying for a loan of $15000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:21:25.951982,15.0,Someone from NY is applying for a loan of $15000. The loan is for a credit card refinancing. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to apply",delegate,"Yes.

**Reasoning:**  
The decision to apply",delegate,False
2026-02-27T01:21:30.911004,15.0,Someone from NJ is applying for a loan of $16200. The loan is for a credit card refinancing. They have been employed for 10 years.,"**Yes.**

**Reason:**  
While automated systems",delegate,"Yes.

**Reasoning:**  
The decision to apply",delegate,False
2026-02-27T01:21:36.013047,15.0,Someone from IL is applying for a loan of $22800. The loan is for a debt consolidation. They have been employed for 3 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:21:41.042589,15.0,Someone from CA is applying for a loan of $9600. The loan is for a other. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
